Assigned ID	Source	serial number	media type	component	additional component	without	pH	strain type	strain info	Phase	Cultivation	Growth Rate	OD	bioreactor	passed_global_correlation	condition	project	reference_condition
GSM5197034_2	2	GSM5197034	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 10 min			FALSE	TRUE	Condition457	P1	Condition195
GSM5197035_1	1	GSM5197035	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 10 min			FALSE	TRUE	Condition337	P1	Condition195
GSM5197035_2	2	GSM5197035	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 10 min			FALSE	TRUE	Condition457	P1	Condition195
GSM5197036_1	1	GSM5197036	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 30 min			FALSE	FALSE	Condition273	P1	Condition195
GSM5197036_2	2	GSM5197036	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 30 min			FALSE	TRUE	Condition73	P1	Condition195
GSM5197037_1	1	GSM5197037	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 30 min			FALSE	FALSE	Condition273	P1	Condition195
GSM5197037_2	2	GSM5197037	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 30 min			FALSE	TRUE	Condition73	P1	Condition195
GSM5197038_1	1	GSM5197038	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 30 min			FALSE	FALSE	Condition273	P1	Condition195
GSM5197038_2	2	GSM5197038	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 30 min			FALSE	TRUE	Condition73	P1	Condition195
GSM5197039_1	1	GSM5197039	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 30 min			FALSE	FALSE	Condition273	P1	Condition195
GSM5197039_2	2	GSM5197039	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 30 min			FALSE	FALSE	Condition73	P1	Condition195
GSM5197040_1	1	GSM5197040	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 120 min			FALSE	FALSE	Condition400	P1	Condition195
GSM5197040_2	2	GSM5197040	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 120 min			FALSE	FALSE	Condition265	P1	Condition195
GSM5197041_1	1	GSM5197041	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 120 min			FALSE	TRUE	Condition400	P1	Condition195
GSM5197041_2	2	GSM5197041	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 120 min			FALSE	TRUE	Condition265	P1	Condition195
GSM5197042_1	1	GSM5197042	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 120 min			FALSE	FALSE	Condition400	P1	Condition195
GSM5197042_2	2	GSM5197042	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 120 min			FALSE	TRUE	Condition265	P1	Condition195
GSM5197043_1	1	GSM5197043	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 120 min			FALSE	FALSE	Condition400	P1	Condition195
GSM5197043_2	2	GSM5197043	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 120 min			FALSE	FALSE	Condition265	P1	Condition195
GSM5197044_1	1	GSM5197044	CGXII	glutamine		"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition57	P1	Condition195
GSM5197044_2	2	GSM5197044	CGXII	glutamine		"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition164	P1	Condition195
GSM5197045_1	1	GSM5197045	CGXII	glutamine		"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition57	P1	Condition195
GSM5197045_2	2	GSM5197045	CGXII	glutamine		"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition164	P1	Condition195
GSM5197046_1	1	GSM5197046	CGXII	glutamine		"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition57	P1	Condition195
GSM5197046_2	2	GSM5197046	CGXII	glutamine		"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition164	P1	Condition195
GSM5197049_1	1	GSM5197049	CGXII	glutamine	oxoproline	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition34	P1	Condition195
GSM5197049_2	2	GSM5197049	CGXII	glutamine	oxoproline	"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition206	P1	Condition195
GSM5197050_1	1	GSM5197050	CGXII	glutamine	oxoproline	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition34	P1	Condition195
GSM5197050_2	2	GSM5197050	CGXII	glutamine	oxoproline	"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition206	P1	Condition195
GSM5197051_1	1	GSM5197051	CGXII	glutamine	oxoproline	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition34	P1	Condition195
GSM5197051_2	2	GSM5197051	CGXII	glutamine		"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition206	P1	Condition195
GSM5197052_1	1	GSM5197052	CGXII	oxoproline		"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition545	P1	Condition195
GSM5197052_2	2	GSM5197052	CGXII	oxoproline		"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition439	P1	Condition195
GSM5197053_1	1	GSM5197053	CGXII	oxoproline		"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition545	P1	Condition195
GSM5197053_2	2	GSM5197053	CGXII	oxoproline		"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition439	P1	Condition195
GSM5197054_1	1	GSM5197054	CGXII	glutamate		"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition396	P1	Condition195
GSM5197054_2	2	GSM5197054	CGXII	glutamate		"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition127	P1	Condition195
GSM5197055_1	1	GSM5197055	CGXII	glutamate		"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition396	P1	Condition195
GSM5197055_2	2	GSM5197055	CGXII	glutamate		"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition127	P1	Condition195
GSM5197056_1	1	GSM5197056	CGXII	GABA				wild type	WT	exponential				FALSE	TRUE	Condition263	P1	Condition195
GSM5197056_2	2	GSM5197056	CGXII	GABA				wild type	WT	exponential				FALSE	TRUE	Condition71	P1	Condition195
GSM5197057_1	1	GSM5197057	CGXII	GABA				wild type	WT	exponential				FALSE	TRUE	Condition263	P1	Condition195
GSM5197057_2	2	GSM5197057	CGXII	GABA				wild type	WT	exponential				FALSE	TRUE	Condition71	P1	Condition195
GSM5197058_1	1	GSM5197058	CGXII	GABA				wild type	WT	exponential				FALSE	TRUE	Condition263	P1	Condition195
GSM5197058_2	2	GSM5197058	CGXII	GABA				wild type	WT	exponential				FALSE	TRUE	Condition71	P1	Condition195
GSM5197059_1	1	GSM5197059	CGXII	GABA				wild type	WT	exponential				FALSE	TRUE	Condition263	P1	Condition195
GSM5197059_2	2	GSM5197059	CGXII	GABA				wild type	WT	exponential				FALSE	TRUE	Condition71	P1	Condition195
GSM5197060_1	1	GSM5197060	CGXII	GABA	"K2SO4, 83 mM urea"	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition160	P1	Condition195
GSM5197060_2	2	GSM5197060	CGXII	GABA	"K2SO4, 83 mM urea"	(NH4)2SO4		wild type	WT	exponential				FALSE	TRUE	Condition40	P1	Condition195
GSM5197061_1	1	GSM5197061	CGXII	GABA	"K2SO4, 83 mM urea"	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition160	P1	Condition195
GSM5197061_2	2	GSM5197061	CGXII	GABA	"K2SO4, 83 mM urea"	(NH4)2SO4		wild type	WT	exponential				FALSE	TRUE	Condition40	P1	Condition195
GSM5197062_1	1	GSM5197062	CGXII	GABA	"K2SO4, 83 mM urea"	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition160	P1	Condition195
GSM5197062_2	2	GSM5197062	CGXII	GABA	"K2SO4, 83 mM urea"	(NH4)2SO4		wild type	WT	exponential				FALSE	TRUE	Condition40	P1	Condition195
GSM5197063_1	1	GSM5197063	CGXII	GABA	"K2SO4, 83 mM urea"	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition160	P1	Condition195
GSM5197063_2	2	GSM5197063	CGXII	GABA	"K2SO4, 83 mM urea"	(NH4)2SO4		wild type	WT	exponential				FALSE	TRUE	Condition40	P1	Condition195
GSM5197064_1	1	GSM5197064	CGXII	GABA	K2SO4	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition476	P1	Condition195
GSM5197064_2	2	GSM5197064	CGXII	GABA	K2SO4	"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition477	P1	Condition195
GSM5197065_1	1	GSM5197065	CGXII	GABA	K2SO4	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition476	P1	Condition195
GSM5197065_2	2	GSM5197065	CGXII	GABA	K2SO4	"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition477	P1	Condition195
GSM5197066_1	1	GSM5197066	CGXII	GABA	K2SO4	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition476	P1	Condition195
GSM5197066_2	2	GSM5197066	CGXII	GABA	K2SO4	"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition477	P1	Condition195
GSM5197067_1	1	GSM5197067	CGXII	GABA	K2SO4	"(NH4)2SO4, urea"		wild type	WT	exponential				FALSE	TRUE	Condition476	P1	Condition195
GSM5197067_2	2	GSM5197067	CGXII	GABA	K2SO4	"urea, (NH4)2SO4"		wild type	WT	exponential				FALSE	TRUE	Condition477	P1	Condition195
GSM5197074_1	1	GSM5197074	CGXII	lactate				wild type	WT	exponential				FALSE	TRUE	Condition75	P1	Condition195
GSM5197074_2	2	GSM5197074	CGXII	lactate				wild type	WT	exponential				FALSE	TRUE	Condition472	P1	Condition195
GSM5197075_1	1	GSM5197075	CGXII	lactate				wild type	WT	exponential				FALSE	TRUE	Condition75	P1	Condition195
GSM5197075_2	2	GSM5197075	CGXII	lactate				wild type	WT	exponential				FALSE	TRUE	Condition472	P1	Condition195
GSM5197076_1	1	GSM5197076	CGXII	lactate				wild type	WT	exponential				FALSE	TRUE	Condition75	P1	Condition195
GSM5197076_2	2	GSM5197076	CGXII	lactate				wild type	WT	exponential				FALSE	TRUE	Condition472	P1	Condition195
GSM5197077_1	1	GSM5197077	CGXII	glucose	methylmalonic acid			wild type	WT	exponential				FALSE	TRUE	Condition437	P1	Condition195
GSM5197077_2	2	GSM5197077	CGXII	glucose	methylmalonic acid			wild type	WT	exponential				FALSE	TRUE	Condition467	P1	Condition195
GSM5197078_1	1	GSM5197078	CGXII	glucose	methylmalonic acid			wild type	WT	exponential				FALSE	TRUE	Condition437	P1	Condition195
GSM5197078_2	2	GSM5197078	CGXII	glucose	methylmalonic acid			wild type	WT	exponential				FALSE	TRUE	Condition467	P1	Condition195
GSM5197090_1	1	GSM5197090	CGXII	adipate				wild type	WT	exponential				FALSE	TRUE	Condition417	P1	Condition195
GSM5197090_2	2	GSM5197090	CGXII	adipate				wild type	WT	exponential				FALSE	TRUE	Condition332	P1	Condition195
GSM5197091_1	1	GSM5197091	CGXII	adipate				wild type	WT	exponential				FALSE	TRUE	Condition417	P1	Condition195
GSM5197091_2	2	GSM5197091	CGXII	adipate				wild type	WT	exponential				FALSE	TRUE	Condition332	P1	Condition195
GSM5197092_1	1	GSM5197092	CGXII	adipate				wild type	WT	exponential				FALSE	TRUE	Condition417	P1	Condition195
GSM5197092_2	2	GSM5197092	CGXII	adipate				wild type	WT	exponential				FALSE	TRUE	Condition332	P1	Condition195
GSM5197093_1	1	GSM5197093	CGXII	adipate				wild type	WT	exponential				FALSE	TRUE	Condition417	P1	Condition195
GSM5197093_2	2	GSM5197093	CGXII	adipate				wild type	WT	exponential				FALSE	TRUE	Condition332	P1	Condition195
GSM5197094_1	1	GSM5197094	CGXII	oxoadipate				wild type	WT	exponential				FALSE	TRUE	Condition376	P1	Condition195
GSM5197094_2	2	GSM5197094	CGXII	oxoadipate				wild type	WT	exponential				FALSE	TRUE	Condition102	P1	Condition195
GSM5197095_1	1	GSM5197095	CGXII	oxoadipate				wild type	WT	exponential				FALSE	TRUE	Condition376	P1	Condition195
GSM5197095_2	2	GSM5197095	CGXII	oxoadipate				wild type	WT	exponential				FALSE	TRUE	Condition102	P1	Condition195
GSM5197096_1	1	GSM5197096	CGXII	oxoadipate				wild type	WT	exponential				FALSE	TRUE	Condition376	P1	Condition195
GSM5197096_2	2	GSM5197096	CGXII	oxoadipate				wild type	WT	exponential				FALSE	TRUE	Condition102	P1	Condition195
GSM5197097_1	1	GSM5197097	CGXII	formate				wild type	WT	early exponential				FALSE	TRUE	Condition124	P1	Condition195
GSM5197097_2	2	GSM5197097	CGXII	formate				wild type	WT	early exponential				FALSE	TRUE	Condition47	P1	Condition195
GSM5197098_1	1	GSM5197098	CGXII	formate				wild type	WT	early exponential				FALSE	TRUE	Condition124	P1	Condition195
GSM5197098_2	2	GSM5197098	CGXII	formate				wild type	WT	early exponential				FALSE	TRUE	Condition47	P1	Condition195
GSM5197099_1	1	GSM5197099	CGXII	formate				wild type	WT	early exponential				FALSE	TRUE	Condition124	P1	Condition195
GSM5197099_2	2	GSM5197099	CGXII	formate				wild type	WT	early exponential				FALSE	TRUE	Condition47	P1	Condition195
GSM5197100_1	1	GSM5197100	CGXII	formate				wild type	WT	early stationary				FALSE	TRUE	Condition281	P1	Condition195
GSM5197100_2	2	GSM5197100	CGXII	formate				wild type	WT	early stationary				FALSE	TRUE	Condition500	P1	Condition195
GSM5197101_1	1	GSM5197101	CGXII	formate				wild type	WT	early stationary				FALSE	TRUE	Condition281	P1	Condition195
GSM5197101_2	2	GSM5197101	CGXII	formate				wild type	WT	early stationary				FALSE	TRUE	Condition500	P1	Condition195
GSM5197102_1	1	GSM5197102	CGXII	formate				wild type	WT	early stationary				FALSE	TRUE	Condition281	P1	Condition195
GSM5197102_2	2	GSM5197102	CGXII	formate				wild type	WT	early stationary				FALSE	TRUE	Condition500	P1	Condition195
GSM5197103_1	1	GSM5197103	CGXII	sodium oleate				wild type	WT	exponential				FALSE	TRUE	Condition25	P1	Condition195
GSM5197103_2	2	GSM5197103	CGXII	sodium oleate				wild type	WT	exponential				FALSE	TRUE	Condition511	P1	Condition195
GSM5197104_1	1	GSM5197104	CGXII	sodium oleate				wild type	WT	exponential				FALSE	TRUE	Condition25	P1	Condition195
GSM5197104_2	2	GSM5197104	CGXII	sodium oleate				wild type	WT	exponential				FALSE	TRUE	Condition511	P1	Condition195
GSM5197105_1	1	GSM5197105	CGXII	sodium oleate				wild type	WT	exponential				FALSE	TRUE	Condition25	P1	Condition195
GSM5197105_2	2	GSM5197105	CGXII	sodium oleate				wild type	WT	exponential				FALSE	TRUE	Condition511	P1	Condition195
GSM5197108_1	1	GSM5197108	CGXII	glucose methanol				wild type	WT	exponential				FALSE	TRUE	Condition149	P1	Condition195
GSM5197108_2	2	GSM5197108	CGXII	glucose methanol				wild type	WT	exponential				FALSE	TRUE	Condition0	P1	Condition195
GSM5197109_1	1	GSM5197109	CGXII	glucose methanol				wild type	WT	exponential				FALSE	TRUE	Condition149	P1	Condition195
GSM5197109_2	2	GSM5197109	CGXII	glucose methanol				wild type	WT	exponential				FALSE	TRUE	Condition0	P1	Condition195
GSM5197110_1	1	GSM5197110	CGXII	glucose methanol				wild type	WT	exponential				FALSE	TRUE	Condition149	P1	Condition195
GSM5197110_2	2	GSM5197110	CGXII	glucose methanol				wild type	WT	exponential				FALSE	TRUE	Condition0	P1	Condition195
GSM5197111_1	1	GSM5197111	CGXII	methanol				wild type	WT	exponential				FALSE	TRUE	Condition445	P1	Condition195
GSM5197111_2	2	GSM5197111	CGXII	methanol				wild type	WT	exponential				FALSE	FALSE	Condition99	P1	Condition195
GSM5197112_1	1	GSM5197112	CGXII	methanol				wild type	WT	exponential				FALSE	TRUE	Condition445	P1	Condition195
GSM5197112_2	2	GSM5197112	CGXII	methanol				wild type	WT	exponential				FALSE	TRUE	Condition99	P1	Condition195
GSM5197113_1	1	GSM5197113	CGXII	glucose				wild type	WT	exponential	in ice-cold ethanol			FALSE	TRUE	Condition351	P1	Condition195
GSM5197113_2	2	GSM5197113	CGXII	glucose				wild type	WT	exponential	in ice-cold ethanol			FALSE	TRUE	Condition349	P1	Condition195
GSM5197114_1	1	GSM5197114	CGXII	glucose				wild type	WT	exponential	in ice-cold ethanol			FALSE	TRUE	Condition351	P1	Condition195
GSM5197114_2	2	GSM5197114	CGXII	glucose				wild type	WT	exponential	in ice-cold ethanol			FALSE	TRUE	Condition349	P1	Condition195
GSM5197115_1	1	GSM5197115	CGXII	nitrite				wild type	WT	exponential				FALSE	TRUE	Condition74	P1	Condition195
GSM5197115_2	2	GSM5197115	CGXII	nitrite				wild type	WT	exponential				FALSE	TRUE	Condition92	P1	Condition195
GSM5197116_1	1	GSM5197116	CGXII	nitrite				wild type	WT	exponential				FALSE	TRUE	Condition74	P1	Condition195
GSM5197116_2	2	GSM5197116	CGXII	nitrite				wild type	WT	exponential				FALSE	TRUE	Condition92	P1	Condition195
GSM5197117_1	1	GSM5197117	CGXII	nitrite				wild type	WT	exponential				FALSE	TRUE	Condition74	P1	Condition195
GSM5197117_2	2	GSM5197117	CGXII	nitrite				wild type	WT	exponential				FALSE	TRUE	Condition92	P1	Condition195
GSM5197119_1	1	GSM5197119	CGXII	nitrate				wild type	WT	exponential				FALSE	TRUE	Condition258	P1	Condition195
GSM5197119_2	2	GSM5197119	CGXII	nitrate				wild type	WT	exponential				FALSE	TRUE	Condition108	P1	Condition195
GSM5197120_1	1	GSM5197120	CGXII	nitrate				wild type	WT	exponential				FALSE	TRUE	Condition258	P1	Condition195
GSM5197120_2	2	GSM5197120	CGXII	nitrate				wild type	WT	exponential				FALSE	TRUE	Condition108	P1	Condition195
GSM5197121_1	1	GSM5197121	CGXII	resveratol				wild type	WT	exponential				FALSE	TRUE	Condition155	P1	Condition195
GSM5197121_2	2	GSM5197121	CGXII	resveratol				wild type	WT	exponential				FALSE	TRUE	Condition435	P1	Condition195
GSM5197122_1	1	GSM5197122	CGXII	resveratol				wild type	WT	exponential				FALSE	TRUE	Condition155	P1	Condition195
GSM5197122_2	2	GSM5197122	CGXII	resveratol				wild type	WT	exponential				FALSE	TRUE	Condition435	P1	Condition195
GSM5197123_1	1	GSM5197123	CGXII	KNO2				wild type	WT	exponential				FALSE	TRUE	Condition461	P1	Condition195
GSM5197123_2	2	GSM5197123	CGXII	KNO2				wild type	WT	exponential				FALSE	TRUE	Condition497	P1	Condition195
GSM5197124_1	1	GSM5197124	CGXII	KNO2				wild type	WT	exponential				FALSE	TRUE	Condition461	P1	Condition195
GSM5197124_2	2	GSM5197124	CGXII	KNO2				wild type	WT	exponential				FALSE	TRUE	Condition497	P1	Condition195
GSM5197125_1	1	GSM5197125	CGXII	KNO2				wild type	WT	exponential				FALSE	TRUE	Condition461	P1	Condition195
GSM5197125_2	2	GSM5197125	CGXII	KNO2				wild type	WT	exponential				FALSE	TRUE	Condition497	P1	Condition195
GSM5197126_1	1	GSM5197126	CGXII	KNO2				wild type	WT	exponential				FALSE	TRUE	Condition491	P1	Condition195
GSM5197126_2	2	GSM5197126	CGXII	KNO2				wild type	WT	exponential				FALSE	TRUE	Condition412	P1	Condition195
GSM5197127_1	1	GSM5197127	CGXII	KNO2				wild type	WT	exponential				FALSE	TRUE	Condition491	P1	Condition195
GSM5197127_2	2	GSM5197127	CGXII	KNO2				wild type	WT	exponential				FALSE	TRUE	Condition412	P1	Condition195
GSM5197128_1	1	GSM5197128	CGXII	KNO3				wild type	WT	exponential				FALSE	TRUE	Condition329	P1	Condition195
GSM5197128_2	2	GSM5197128	CGXII	KNO3				wild type	WT	exponential				FALSE	TRUE	Condition409	P1	Condition195
GSM5197129_1	1	GSM5197129	CGXII	KNO3				wild type	WT	exponential				FALSE	TRUE	Condition329	P1	Condition195
GSM5197129_2	2	GSM5197129	CGXII	KNO3				wild type	WT	exponential				FALSE	TRUE	Condition409	P1	Condition195
GSM5197130_1	1	GSM5197130	CGXII	KNO3				wild type	WT	exponential				FALSE	TRUE	Condition329	P1	Condition195
GSM5197130_2	2	GSM5197130	CGXII	KNO3				wild type	WT	exponential				FALSE	TRUE	Condition409	P1	Condition195
GSM5197131_1	1	GSM5197131	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition59	P1	Condition195
GSM5197131_2	2	GSM5197131	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition410	P1	Condition195
GSM5197132_1	1	GSM5197132	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition59	P1	Condition195
GSM5197132_2	2	GSM5197132	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition410	P1	Condition195
GSM5197133_1	1	GSM5197133	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition59	P1	Condition195
GSM5197133_2	2	GSM5197133	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition410	P1	Condition195
GSM5197134_1	1	GSM5197134	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition59	P1	Condition195
GSM5197134_2	2	GSM5197134	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition410	P1	Condition195
GSM5197135_1	1	GSM5197135	CGXII	Na2S				wild type	WT	exponential				FALSE	FALSE	Condition271	P1	Condition195
GSM5197135_2	2	GSM5197135	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition224	P1	Condition195
GSM5197136_1	1	GSM5197136	CGXII	Na2S				wild type	WT	exponential				FALSE	FALSE	Condition271	P1	Condition195
GSM5197136_2	2	GSM5197136	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition224	P1	Condition195
GSM5197137_1	1	GSM5197137	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition271	P1	Condition195
GSM5197137_2	2	GSM5197137	CGXII	Na2S				wild type	WT	exponential				FALSE	TRUE	Condition224	P1	Condition195
GSM5197138_1	1	GSM5197138	CGXII	glucose	Fe2S	(NH4)2SO4		wild type	WT	exponential				FALSE	TRUE	Condition88	P1	Condition195
GSM5197138_2	2	GSM5197138	CGXII	glucose	Fe2S	(NH4)2SO4		wild type	WT	exponential				FALSE	FALSE	Condition438	P1	Condition195
GSM5197139_1	1	GSM5197139	CGXII	glucose	Fe2S	(NH4)2SO4		wild type	WT	exponential				FALSE	TRUE	Condition88	P1	Condition195
