Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
G18NG-10805	Cgl1232	1297212	1298342	G18NG-10805-MONOMER
G18NG-10117	Cgl0555	569452	570774	G18NG-10117-MONOMER
G18NG-11799	Cgl2207	2339270	2341297	G18NG-11799-MONOMER
G18NG-11445		1966301	1966987	G18NG-11445-MONOMER
G18NG-9815	Cgl0260	277984	278301	G18NG-9815-MONOMER
G18NG-12328	Cgl2711	2880545	2880991	G18NG-12328-MONOMER
G18NG-10784	Cgl1211	1276708	1277685	G18NG-10784-MONOMER
G18NG-10099	Cgl0537	555331	555729	G18NG-10099-MONOMER
G18NG-11780	Cgl2188	2319966	2320595	G18NG-11780-MONOMER
G18NG-11382	Cgl1790	1897371	1899158	G18NG-11382-MONOMER
G18NG-9797	Cgl0242	258551	260878	G18NG-9797-MONOMER
G18NG-12307	Cgl2690	2863622	2864422	G18NG-12307-MONOMER
G18NG-10767	Cgl1194	1257862	1259265	G18NG-10767-MONOMER
G18NG-10075	Cgl0513	536217	536579	G18NG-10075-MONOMER
G18NG-11759	Cgl2167	2295374	2295805	G18NG-11759-MONOMER
G18NG-11324	Cgl1733	1825748	1826644	G18NG-11324-MONOMER
G18NG-9768	Cgl0218	232257	233282	G18NG-9768-MONOMER
G18NG-12279	Cgl2662	2830058	2830783	G18NG-12279-MONOMER
G18NG-10747	Cgl1175	1232603	1232839	G18NG-10747-MONOMER
G18NG-10052	Cgl0490	520671	520853	G18NG-10052-MONOMER
G18NG-11742	Cgl2150	2274765	2275862	G18NG-11742-MONOMER
G18NG-11253	Cgl1668	1768031	1768996	G18NG-11253-MONOMER
G18NG-9747	Cgl0198	215159	216100	G18NG-9747-MONOMER
G18NG-12261	Cgl2644	2813277	2814038	G18NG-12261-MONOMER
G18NG-10722	Cgl1150	1202091	1203632	G18NG-10722-MONOMER
G18NG-10030	Cgl0473	494061	495113	G18NG-10030-MONOMER
G18NG-11722	Cgl2130	2248356	2251940	G18NG-11722-MONOMER
G18NG-11233	Cgl1648	1749322	1749963	G18NG-11233-MONOMER
G18NG-9726	Cgl0177	187687	188103	G18NG-9726-MONOMER
G18NG-12243	Cgl2626	2794871	2795641	G18NG-12243-MONOMER
G18NG-10701	Cgl1129	1172498	1176271	G18NG-10701-MONOMER
G18NG-10008	Cgl0451	474994	475407	G18NG-10008-MONOMER
G18NG-11702	Cgl2110	2226766	2227779	G18NG-11702-MONOMER
G18NG-11213	Cgl1628	1723826	1724581	G18NG-11213-MONOMER
G18NG-10522	Cgl0952	1008622	1010064	G18NG-10522-MONOMER
G18NG-9703	Cgl0155	163686	165755	G18NG-9703-MONOMER
G18NG-12220	Cgl2604	2770715	2771986	G18NG-12220-MONOMER
G18NG-10678	Cgl1106	1152370	1153263	G18NG-10678-MONOMER
G18NG-11684	Cgl2092	2209229	2209888	G18NG-11684-MONOMER
G18NG-11194	Cgl1609	1704356	1707697	G18NG-11194-MONOMER
G18NG-10504	Cgl0934	990716	991417	G18NG-10504-MONOMER
G18NG-9680	Cgl0131	144725	145483	G18NG-9680-MONOMER
G18NG-12203	Cgl2587	2749160	2749903	G18NG-12203-MONOMER
G18NG-10656	Cgl1084	1131398	1132123	G18NG-10656-MONOMER
G18NG-11177	Cgl1592	1687100	1689190	G18NG-11177-MONOMER
G18NG-10484	Cgl0914	969458	969940	G18NG-10484-MONOMER
G18NG-9660	Cgl0111	124130	124969	G18NG-9660-MONOMER
G18NG-12179	Cgl2566	2725382	2726578	G18NG-12179-MONOMER
G18NG-10640	Cgl1068	1116905	1117744	G18NG-10640-MONOMER
G18NG-11159	Cgl1574	1664475	1666505	G18NG-11159-MONOMER
G18NG-10464	Cgl0894	948791	950842	G18NG-10464-MONOMER
G18NG-9640	Cgl0091	96365	97144	G18NG-9640-MONOMER
G18NG-12148	Cgl2543	2690438	2690764	G18NG-12148-MONOMER
G18NG-12672	Cgl3051	3252729	3253484	G18NG-12672-MONOMER
G18NG-10609	Cgl1037	1088532	1089740	G18NG-10609-MONOMER
G18NG-11139	Cgl1554	1641043	1642674	G18NG-11139-MONOMER
G18NG-10446	Cgl0876	930410	931651	G18NG-10446-MONOMER
G18NG-9615	Cgl0069	72161	72817	G18NG-9615-MONOMER
G18NG-12126	Cgl2522	2669555	2670574	G18NG-12126-MONOMER
G18NG-12651	Cgl3029	3233404	3234960	G18NG-12651-MONOMER
G18NG-12647	Cgl3026	3229120	3230448	G18NG-12647-MONOMER
G18NG-10586	Cgl1014	1065301	1065867	G18NG-10586-MONOMER
G18NG-11107	Cgl1524	1605858	1607657	G18NG-11107-MONOMER
G18NG-10424	Cgl0854	911226	913517	G18NG-10424-MONOMER
G18NG-9587	Cgl0042	42510	43919	G18NG-9587-MONOMER
G18NG-12096	Cgl2493	2636846	2637172	G18NG-12096-MONOMER
G18NG-12627	Cgl3006	3206850	3208028	G18NG-12627-MONOMER
G18NG-10558	Cgl0986	1043771	1044295	G18NG-10558-MONOMER
G18NG-11084	Cgl1501	1581851	1582117	G18NG-11084-MONOMER
G18NG-10399	Cgl0830	879276	879632	G18NG-10399-MONOMER
G18NG-9569	Cgl0024	24295	24732	G18NG-9569-MONOMER
G18NG-12068	Cgl2467	2613713	2614504	G18NG-12068-MONOMER
G18NG-12605	Cgl2984	3185346	3185537	G18NG-12605-MONOMER
G18NG-10533	Cgl0962	1018416	1019069	G18NG-10533-MONOMER
G18NG-11056	Cgl1473	1552518	1553975	G18NG-11056-MONOMER
G18NG-10368	Cgl0805	846632	846985	G18NG-10368-MONOMER
G18NG-12719	Cgl3098	3307969	3308370	G18NG-12719-MONOMER
G18NG-12045	Cgl2446	2590310	2591470	G18NG-12045-MONOMER
G18NG-12585	Cgl2964	3166448	3167647	G18NG-12585-MONOMER
G18NG-11037	Cgl1454	1532322	1532999	G18NG-11037-MONOMER
G18NG-10339	Cgl0777	817519	818526	G18NG-10339-MONOMER
G18NG-12700	Cgl3079	3287391	3288191	G18NG-12700-MONOMER
G18NG-12022	Cgl2423	2563930	2564403	G18NG-12022-MONOMER
G18NG-11671	Cgl2079	2194739	2196082	G18NG-11671-MONOMER
G18NG-12559	Cgl2941	3140883	3141524	G18NG-12559-MONOMER
G18NG-11016	Cgl1434	1512189	1512980	G18NG-11016-MONOMER
G18NG-10312		787624	787986	G18NG-10312-MONOMER
G18NG-11993	Cgl2396	2538614	2539732	G18NG-11993-MONOMER
G18NG-11648	Cgl2056	2166121	2166990	G18NG-11648-MONOMER
G18NG-12532	Cgl2914	3116080	3116625	G18NG-12532-MONOMER
G18NG-10999	Cgl1417	1493513	1495177	G18NG-10999-MONOMER
G18NG-10285	Cgl0723	742828	743052	G18NG-10285-MONOMER
G18NG-11976	Cgl2379	2521665	2522252	G18NG-11976-MONOMER
G18NG-11629	Cgl2037	2149631	2149972	G18NG-11629-MONOMER
G18NG-9988	Cgl0431	454967	455986	G18NG-9988-MONOMER
G18NG-12508	Cgl2890	3090758	3092287	G18NG-12508-MONOMER
G18NG-10971	Cgl1392	1462134	1463519	G18NG-10971-MONOMER
G18NG-10263	Cgl0701	720544	721449	G18NG-10263-MONOMER
G18NG-11959	Cgl2362	2503982	2504248	G18NG-11959-MONOMER
G18NG-11611	Cgl2019	2133403	2134260	G18NG-11611-MONOMER
G18NG-9963	Cgl0406	429435	432023	G18NG-9963-MONOMER
G18NG-12485	Cgl2867	3057329	3059647	G18NG-12485-MONOMER
G18NG-10950	Cgl1371	1436866	1437249	G18NG-10950-MONOMER
G18NG-10242	Cgl0680	695074	696213	G18NG-10242-MONOMER
G18NG-11940	Cgl2343	2485474	2485737	G18NG-11940-MONOMER
G18NG-11591	Cgl1999	2111238	2112662	G18NG-11591-MONOMER
G18NG-9939	Cgl0382	404505	405419	G18NG-9939-MONOMER
G18NG-12462	Cgl2845	3032662	3033867	G18NG-12462-MONOMER
G18NG-10927	Cgl1349	1411116	1411424	G18NG-10927-MONOMER
G18NG-10226	Cgl0664	677828	680044	G18NG-10226-MONOMER
G18NG-11918	Cgl2321	2459372	2460340	G18NG-11918-MONOMER
G18NG-9919	Cgl0362	383979	385190	G18NG-9919-MONOMER
G18NG-12444	Cgl2827	3013835	3014551	G18NG-12444-MONOMER
G18NG-10894	Cgl1316	1381902	1382495	G18NG-10894-MONOMER
G18NG-10203	Cgl0641	656547	657218	G18NG-10203-MONOMER
G18NG-11899	Cgl2302	2436872	2438053	G18NG-11899-MONOMER
G18NG-11553	Cgl1961	2068553	2069383	G18NG-11553-MONOMER
G18NG-9896	Cgl0339	355846	357228	G18NG-9896-MONOMER
G18NG-12418	Cgl2801	2986834	2988168	G18NG-12418-MONOMER
G18NG-10862	Cgl1289	1357557	1358213	G18NG-10862-MONOMER
G18NG-10186	Cgl0624	635175	636089	G18NG-10186-MONOMER
G18NG-11877	Cgl2280	2412993	2413427	G18NG-11877-MONOMER
G18NG-11531	Cgl1939	2047317	2048606	G18NG-11531-MONOMER
G18NG-9877	Cgl0320	336212	336751	G18NG-9877-MONOMER
G18NG-12394	Cgl2777	2961343	2962722	G18NG-12394-MONOMER
G18NG-10840	Cgl1267	1333185	1333424	G18NG-10840-MONOMER
G18NG-10159	Cgl0597	610348	610647	G18NG-10159-MONOMER
G18NG-11843	Cgl2249	2382825	2383616	G18NG-11843-MONOMER
G18NG-11510	Cgl1918	2020293	2020727	G18NG-11510-MONOMER
G18NG-9852	Cgl0296	310135	311328	G18NG-9852-MONOMER
G18NG-12370	Cgl2753	2936506	2937495	G18NG-12370-MONOMER
G18NG-10823	Cgl1250	1315046	1316086	G18NG-10823-MONOMER
G18NG-10135	Cgl0573	584268	585623	G18NG-10135-MONOMER
G18NG-11814	Cgl2222	2355522	2356847	G18NG-11814-MONOMER
G18NG-11489	Cgl1897	1998289	1999545	G18NG-11489-MONOMER
G18NG-9832	Cgl0276	292594	293511	G18NG-9832-MONOMER
G18NG-12350	Cgl2733	2915930	2916205	G18NG-12350-MONOMER
G18NG-10800	Cgl1227	1291699	1292580	G18NG-10800-MONOMER
G18NG-10114	Cgl0552	565677	566759	G18NG-10114-MONOMER
G18NG-11795	Cgl2203	2335026	2335742	G18NG-11795-MONOMER
G18NG-11434	Cgl1842	1951616	1952485	G18NG-11434-MONOMER
G18NG-9812	Cgl0257	276299	276763	G18NG-9812-MONOMER
G18NG-12325	Cgl2708	2877593	2877859	G18NG-12325-MONOMER
G18NG-10781	Cgl1208	1273559	1274125	G18NG-10781-MONOMER
G18NG-10095	Cgl0533	550696	551844	G18NG-10095-MONOMER
G18NG-11777	Cgl2185	2316580	2317551	G18NG-11777-MONOMER
G18NG-11372	Cgl1780	1884217	1884936	G18NG-11372-MONOMER
G18NG-9790	Cgl0236	251952	252833	G18NG-9790-MONOMER
G18NG-12302	Cgl2685	2857611	2859056	G18NG-12302-MONOMER
G18NG-10764	Cgl1191	1254146	1254637	G18NG-10764-MONOMER
G18NG-10071	Cgl0508	534746	535051	G18NG-10071-MONOMER
G18NG-11755	Cgl2163	2289521	2291074	G18NG-11755-MONOMER
G18NG-11305	Cgl1713	1809761	1810375	G18NG-11305-MONOMER
G18NG-9764	Cgl0214	229708	230514	G18NG-9764-MONOMER
G18NG-12276	Cgl2659	2827902	2828384	G18NG-12276-MONOMER
G18NG-10742	Cgl1170	1229177	1229716	G18NG-10742-MONOMER
G18NG-10049	Cgl0487	511536	512510	G18NG-10049-MONOMER
G18NG-11738	Cgl2146	2269258	2270262	G18NG-11738-MONOMER
G18NG-11249	Cgl1664	1765012	1765860	G18NG-11249-MONOMER
G18NG-9744	Cgl0195	213712	214110	G18NG-9744-MONOMER
G18NG-12258	Cgl2641	2808397	2809779	G18NG-12258-MONOMER
G18NG-10719	Cgl1147	1197987	1199543	G18NG-10719-MONOMER
G18NG-10027	Cgl0470	490580	491941	G18NG-10027-MONOMER
G18NG-11719	Cgl2127	2244862	2246172	G18NG-11719-MONOMER
G18NG-11230	Cgl1645	1744884	1746233	G18NG-11230-MONOMER
G18NG-9723	Cgl0174	186508	186711	G18NG-9723-MONOMER
G18NG-12235	Cgl2619	2788585	2789400	G18NG-12235-MONOMER
G18NG-10696	Cgl1124	1168744	1169325	G18NG-10696-MONOMER
G18NG-10004	Cgl0447	471515	471850	G18NG-10004-MONOMER
G18NG-11699	Cgl2107	2222528	2225038	G18NG-11699-MONOMER
G18NG-11210	Cgl1625	1721420	1721725	G18NG-11210-MONOMER
G18NG-10518	Cgl0948	1004829	1006088	G18NG-10518-MONOMER
G18NG-9697	Cgl0148	159162	160016	G18NG-9697-MONOMER
G18NG-12217	Cgl2601	2767581	2767997	G18NG-12217-MONOMER
G18NG-10674	Cgl1102	1148953	1149270	G18NG-10674-MONOMER
G18NG-11681	Cgl2089	2205665	2207092	G18NG-11681-MONOMER
G18NG-11190	Cgl1605	1702029	1702322	G18NG-11190-MONOMER
G18NG-10501	Cgl0931	988023	988907	G18NG-10501-MONOMER
G18NG-9676	Cgl0127	140329	141792	G18NG-9676-MONOMER
G18NG-12199	Cgl2583	2744879	2745955	G18NG-12199-MONOMER
G18NG-10653	Cgl1081	1129102	1129635	G18NG-10653-MONOMER
G18NG-11174	Cgl1589	1684114	1685097	G18NG-11174-MONOMER
G18NG-10481	Cgl0911	965852	966787	G18NG-10481-MONOMER
G18NG-9657	Cgl0108	120410	120922	G18NG-9657-MONOMER
G18NG-12174	Cgl2563	2723065	2723613	G18NG-12174-MONOMER
G18NG-10637	Cgl1065	1113102	1114322	G18NG-10637-MONOMER
G18NG-11156	Cgl1571	1659508	1661139	G18NG-11156-MONOMER
G18NG-10461	Cgl0891	944009	944836	G18NG-10461-MONOMER
G18NG-9637	Cgl0088	94202	94882	G18NG-9637-MONOMER
G18NG-12143	Cgl2539	2686316	2687152	G18NG-12143-MONOMER
G18NG-12665	Cgl3044	3249185	3249535	G18NG-12665-MONOMER
G18NG-10606	Cgl1034	1086096	1086920	G18NG-10606-MONOMER
G18NG-11130	Cgl1545	1631933	1633327	G18NG-11130-MONOMER
G18NG-10442	Cgl0872	927474	927740	G18NG-10442-MONOMER
G18NG-9612	Cgl0066	68248	68634	G18NG-9612-MONOMER
G18NG-12123	Cgl2519	2666116	2667858	G18NG-12123-MONOMER
G18NG-12117	Cgl2513	2661415	2662377	G18NG-12117-MONOMER
G18NG-12644	Cgl3023	3225561	3226688	G18NG-12644-MONOMER
G18NG-10580	Cgl1008	1060112	1060795	G18NG-10580-MONOMER
G18NG-11104	Cgl1521	1603520	1604632	G18NG-11104-MONOMER
G18NG-10420	Cgl0850	906556	907731	G18NG-10420-MONOMER
G18NG-9584	Cgl0039	38978	39802	G18NG-9584-MONOMER
G18NG-12093	Cgl2490	2634117	2634755	G18NG-12093-MONOMER
G18NG-12622	Cgl3001	3202953	3204104	G18NG-12622-MONOMER
G18NG-10553	Cgl0981	1040494	1040685	G18NG-10553-MONOMER
G18NG-11081	Cgl1498	1578564	1579400	G18NG-11081-MONOMER
G18NG-10394	Cgl0825	873213	874043	G18NG-10394-MONOMER
G18NG-9563	Cgl0021	20073	21068	G18NG-9563-MONOMER
G18NG-12064	Cgl2463	2609510	2610640	G18NG-12064-MONOMER
G18NG-12602	Cgl2981	3183476	3183928	G18NG-12602-MONOMER
G18NG-11051	Cgl1468	1547964	1548440	G18NG-11051-MONOMER
G18NG-10365	Cgl0802	844495	845184	G18NG-10365-MONOMER
G18NG-12716	Cgl3095	3304833	3305672	G18NG-12716-MONOMER
G18NG-12042	Cgl2443	2587977	2588726	G18NG-12042-MONOMER
G18NG-12580	Cgl2959	3161085	3161408	G18NG-12580-MONOMER
G18NG-11034	Cgl1451	1529486	1530223	G18NG-11034-MONOMER
G18NG-10333	Cgl0771	807943	809217	G18NG-10333-MONOMER
G18NG-12696	Cgl3075	3284397	3285356	G18NG-12696-MONOMER
G18NG-12011	Cgl2414	2556758	2558107	G18NG-12011-MONOMER
G18NG-11666	Cgl2074	2189163	2189906	G18NG-11666-MONOMER
G18NG-12553	Cgl2935	3135854	3136492	G18NG-12553-MONOMER
G18NG-11013	Cgl1431	1507914	1508729	G18NG-11013-MONOMER
G18NG-10304	Cgl0742	780128	781174	G18NG-10304-MONOMER
G18NG-11990	Cgl2393	2535431	2536186	G18NG-11990-MONOMER
G18NG-11645	Cgl2053	2164390	2164740	G18NG-11645-MONOMER
G18NG-12528	Cgl2910	3110462	3112081	G18NG-12528-MONOMER
G18NG-10994	Cgl1412	1487238	1488059	G18NG-10994-MONOMER
G18NG-10282	Cgl0720	741397	741768	G18NG-10282-MONOMER
G18NG-11973	Cgl2376	2515635	2518337	G18NG-11973-MONOMER
G18NG-11625	Cgl2033	2146563	2147192	G18NG-11625-MONOMER
G18NG-9984	Cgl0427	449180	450826	G18NG-9984-MONOMER
G18NG-12503	Cgl2885	3084422	3085201	G18NG-12503-MONOMER
G18NG-10967	Cgl1388	1456355	1456951	G18NG-10967-MONOMER
G18NG-10258	Cgl0696	715102	716286	G18NG-10258-MONOMER
G18NG-11954	Cgl2357	2498007	2499512	G18NG-11954-MONOMER
G18NG-11608	Cgl2016	2129900	2131078	G18NG-11608-MONOMER
G18NG-9959	Cgl0402	425177	425923	G18NG-9959-MONOMER
G18NG-12481	Cgl2863	3052060	3053892	G18NG-12481-MONOMER
G18NG-10946	Cgl1367	1431572	1432612	G18NG-10946-MONOMER
G18NG-10239	Cgl0677	691882	692919	G18NG-10239-MONOMER
G18NG-11936	Cgl2339	2481211	2481693	G18NG-11936-MONOMER
G18NG-11588	Cgl1996	2108386	2109147	G18NG-11588-MONOMER
G18NG-9936	Cgl0379	400473	401153	G18NG-9936-MONOMER
G18NG-12457	Cgl2840	3028269	3028895	G18NG-12457-MONOMER
G18NG-10910	Cgl1332	1396558	1397562	G18NG-10910-MONOMER
G18NG-10223	Cgl0661	675079	676122	G18NG-10223-MONOMER
G18NG-11915	Cgl2318	2455718	2457067	G18NG-11915-MONOMER
G18NG-11570	Cgl1978	2086916	2087941	G18NG-11570-MONOMER
G18NG-9915	Cgl0358	378665	379837	G18NG-9915-MONOMER
G18NG-12441	Cgl2824	3011240	3011806	G18NG-12441-MONOMER
G18NG-10891	Cgl1313	1379003	1379569	G18NG-10891-MONOMER
G18NG-10200	Cgl0638	651601	654615	G18NG-10200-MONOMER
G18NG-11894	Cgl2297	2430297	2432417	G18NG-11894-MONOMER
G18NG-11550	Cgl1958	2066566	2067144	G18NG-11550-MONOMER
G18NG-9892	Cgl0335	351367	351948	G18NG-9892-MONOMER
G18NG-12415	Cgl2798	2982493	2983680	G18NG-12415-MONOMER
G18NG-10859	Cgl1286	1353489	1354511	G18NG-10859-MONOMER
G18NG-10183	Cgl0621	632687	633079	G18NG-10183-MONOMER
G18NG-11872	Cgl2275	2406994	2409033	G18NG-11872-MONOMER
G18NG-11526	Cgl1934	2041728	2042522	G18NG-11526-MONOMER
G18NG-9873	Cgl0316	331552	332436	G18NG-9873-MONOMER
G18NG-12389	Cgl2772	2956828	2957448	G18NG-12389-MONOMER
G18NG-10836	Cgl1263	1329015	1329887	G18NG-10836-MONOMER
G18NG-10155	Cgl0593	606392	606901	G18NG-10155-MONOMER
G18NG-11834	Cgl2241	2375768	2376724	G18NG-11834-MONOMER
G18NG-11506	Cgl1914	2016254	2017966	G18NG-11506-MONOMER
G18NG-9849	Cgl0293	307955	308737	G18NG-9849-MONOMER
G18NG-12367	Cgl2750	2931341	2932375	G18NG-12367-MONOMER
G18NG-10820	Cgl1247	1311625	1313118	G18NG-10820-MONOMER
G18NG-10129	Cgl0567	577057	577926	G18NG-10129-MONOMER
G18NG-11810	Cgl2218	2351981	2352832	G18NG-11810-MONOMER
G18NG-11484	Cgl1892	1995780	1996088	G18NG-11484-MONOMER
G18NG-9827	Cgl0272	289128	289796	G18NG-9827-MONOMER
G18NG-10796	Cgl1223	1286043	1287002	G18NG-10796-MONOMER
G18NG-10111	Cgl0549	562643	562963	G18NG-10111-MONOMER
G18NG-11791	Cgl2199	2331975	2332499	G18NG-11791-MONOMER
G18NG-11425	Cgl1833	1943095	1943313	G18NG-11425-MONOMER
G18NG-9808	Cgl0253	271761	273197	G18NG-9808-MONOMER
G18NG-12317	Cgl2700	2872927	2873403	G18NG-12317-MONOMER
G18NG-10777	Cgl1204	1271213	1271701	G18NG-10777-MONOMER
G18NG-10089	Cgl0527	543412	544329	G18NG-10089-MONOMER
G18NG-11774	Cgl2182	2313914	2314093	G18NG-11774-MONOMER
G18NG-11368	Cgl1776	1878312	1879403	G18NG-11368-MONOMER
G18NG-9786	Cgl0232	247310	248575	G18NG-9786-MONOMER
G18NG-12296	Cgl2679	2847230	2848663	G18NG-12296-MONOMER
G18NG-10761	Cgl1188	1247196	1248791	G18NG-10761-MONOMER
G18NG-10066	Cgl0504	533099	533404	G18NG-10066-MONOMER
