,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,pathway_name,source,module_name
43,102,map00970,0.0002514040795829233,0.05706872606532359,0.0684931506849315,0.2,0.1020408163265306,5.0,25.0,73.0,Aminoacyl-tRNA biosynthesis,KEGG pathways,
0,4,M00436,7.430698574355487e-09,1.7313527678248285e-06,0.42857142857142855,1.0,0.6,3.0,3.0,7.0,,KEGG modules,
1,4,M00188,4.510448677348337e-05,0.005254672709110813,0.2857142857142857,0.4,0.3333333333333333,2.0,5.0,7.0,,KEGG modules,
2,5,M00239,6.051003891569345e-06,0.0014098839067356575,0.19047619047619047,0.21052631578947367,0.2,4.0,19.0,21.0,,KEGG modules,
3,5,M00125,0.0006675745662648324,0.07777243696985298,0.09523809523809523,0.3333333333333333,0.14814814814814814,2.0,6.0,21.0,,KEGG modules,"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD"
4,11,M00179,0.00029870028282004256,0.06959716589706992,0.6666666666666666,0.06451612903225806,0.1176470588235294,2.0,31.0,3.0,,KEGG modules,
5,12,M00254,6.768623331398763e-05,0.015770892362159117,0.6666666666666666,0.13333333333333333,0.2222222222222222,2.0,15.0,3.0,,KEGG modules,
6,14,M00151,8.492226942120548e-10,1.9786888775140877e-07,0.75,1.0,0.8571428571428571,3.0,3.0,4.0,,KEGG modules,Cytochrome bc1 complex respiratory unit
7,23,M00207,2.323728058167519e-05,0.0054142863755303194,0.6666666666666666,0.2222222222222222,0.3333333333333333,2.0,9.0,3.0,,KEGG modules,
8,25,M00029,3.8771262104462285e-06,0.0004516852035169856,0.5,0.6666666666666666,0.5714285714285715,2.0,3.0,4.0,,KEGG modules,Urea cycle
9,25,M00844,3.8771262104462285e-06,0.0004516852035169856,0.5,0.6666666666666666,0.5714285714285715,2.0,3.0,4.0,,KEGG modules,"Arginine biosynthesis, ornithine => arginine"
10,25,M00845,7.750856367063004e-06,0.0006019831778418933,0.5,0.5,0.5,2.0,4.0,4.0,,KEGG modules,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
11,29,M00568,0.00016166596427307257,0.03766816967562591,0.2222222222222222,0.2857142857142857,0.25,2.0,7.0,9.0,,KEGG modules,"Catechol ortho-cleavage, catechol => 3-oxoadipate"
12,31,M00240,8.726926617171468e-18,2.033373901800952e-15,0.55,0.3235294117647059,0.4074074074074075,11.0,34.0,20.0,,KEGG modules,
13,34,M00529,3.877126210439836e-06,0.00045168520351624087,0.6666666666666666,0.5,0.5714285714285715,2.0,4.0,3.0,,KEGG modules,"Denitrification, nitrate => nitrogen"
14,34,M00530,1.9389877165542597e-06,0.00045168520351624087,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,3.0,3.0,,KEGG modules,"Dissimilatory nitrate reduction, nitrate => ammonia"
15,53,M00233,8.49222694209255e-10,1.9786888775075643e-07,1.0,0.75,0.8571428571428571,3.0,4.0,3.0,,KEGG modules,
16,54,M00023,9.385284999300635e-05,0.02186771404837048,0.029940119760479042,0.5,0.05649717514124294,5.0,10.0,167.0,,KEGG modules,"Tryptophan biosynthesis, chorismate => tryptophan"
17,57,M00027,1.2929415519328755e-06,0.00030125538160036,1.0,0.5,0.6666666666666666,2.0,4.0,2.0,,KEGG modules,GABA (gamma-Aminobutyrate) shunt
18,61,M00179,0.00010020297027475835,0.023347292074018696,1.0,0.06451612903225806,0.12121212121212122,2.0,31.0,2.0,,KEGG modules,
19,61,M00178,0.0002969455764280788,0.03459415965387118,1.0,0.03773584905660377,0.07272727272727272,2.0,53.0,2.0,,KEGG modules,
20,68,M00176,1.394912441214908e-12,3.250145988030736e-10,0.8,1.0,0.888888888888889,4.0,4.0,5.0,,KEGG modules,"Assimilatory sulfate reduction, sulfate => H2S"
21,68,M00596,2.1549025865508765e-06,0.0002510461513331771,0.4,1.0,0.5714285714285715,2.0,2.0,5.0,,KEGG modules,"Dissimilatory sulfate reduction, sulfate => H2S"
22,73,M00051,7.430698574365783e-09,1.7313527678272276e-06,1.0,0.42857142857142855,0.6,3.0,7.0,3.0,,KEGG modules,"De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP"
23,74,M00239,2.0572419767239923e-07,4.793373805766902e-05,1.0,0.15789473684210525,0.2727272727272727,3.0,19.0,3.0,,KEGG modules,
24,74,M00439,3.877126210439836e-06,0.00045168520351624087,0.6666666666666666,0.5,0.5714285714285715,2.0,4.0,3.0,,KEGG modules,
25,77,M00258,7.083181806030328e-05,0.016503813608050664,0.5,0.18181818181818182,0.26666666666666666,2.0,11.0,4.0,,KEGG modules,
26,81,M00155,1.7443034139115667e-05,0.00406422695441395,0.0375,1.0,0.07228915662650602,3.0,3.0,80.0,,KEGG modules,"Cytochrome c oxidase, prokaryotes"
27,83,M00178,5.836442339477783e-38,1.3598910650983235e-35,0.7931034482758621,0.4339622641509434,0.5609756097560975,23.0,53.0,29.0,,KEGG modules,
28,83,M00179,1.6245166318879547e-24,1.8925618761494673e-22,0.5172413793103449,0.4838709677419355,0.5000000000000001,15.0,31.0,29.0,,KEGG modules,
29,87,M00115,6.460461646196395e-06,0.00150528756356376,0.6666666666666666,0.4,0.5,2.0,5.0,3.0,,KEGG modules,"NAD biosynthesis, aspartate => quinolinate => NAD"
30,90,M00127,4.510448677351602e-05,0.010509345418229232,0.4,0.2857142857142857,0.3333333333333333,2.0,7.0,5.0,,KEGG modules,"Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP"
