Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-2
CGTRNA_RS09740	CGTRNA_RS09740	2069050	2069919	DUF4439 domain-containing protein	CGTRNA_RS09740	cg2180
thiD	CGTRNA_RS15260	3260698	3261498	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD	cg3409
CGTRNA_RS06185	CGTRNA_RS06185	1302453	1303397	fused MFS/spermidine synthase	CGTRNA_RS06185	cg1394
CGTRNA_RS05620	CGTRNA_RS05620	1169052	1170176	Mrp/NBP35 family ATP-binding protein	CGTRNA_RS05630 // CGTRNA_RS05625 // CGTRNA_RS05620	cg1274
aroQ	CGTRNA_RS02165	446086	446523	type II 3-dehydroquinate dehydratase	CGTRNA_RS02170 // aroQ // qsuB // CGTRNA_RS02155	cg0503
nusG	CGTRNA_RS02440	497373	498329	transcription termination/antitermination protein NusG	nusG	cg0562
CGTRNA_RS03925	CGTRNA_RS03925	828089	831046	UPF0182 family protein	CGTRNA_RS03925	cg0896
CGTRNA_RS12035	CGTRNA_RS12035	2565641	2566270	hypothetical protein	CGTRNA_RS12040 // CGTRNA_RS12035	cg2691
rplB	CGTRNA_RS02595	535075	535917	50S ribosomal protein L2	rpsQ // CGTRNA_RS02620 // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	cg0598
pheS	CGTRNA_RS06955	1458499	1459536	phenylalanine--tRNA ligase subunit alpha	CGTRNA_RS06960 // pheS	cg1574
CGTRNA_RS06155	CGTRNA_RS06155	1297721	1298674	electron transfer flavoprotein subunit alpha/FixB family protein	CGTRNA_RS06160 // CGTRNA_RS06155 // CGTRNA_RS06150	cg1387
CGTRNA_RS04525	CGTRNA_RS04525	956419	956761	transposase	CGTRNA_RS04525 // CGTRNA_RS15560	cg1024
CGTRNA_RS06385	CGTRNA_RS06385	1345500	1345934	acyl-CoA/acyl-ACP dehydrogenase	CGTRNA_RS06390 // CGTRNA_RS06385 // CGTRNA_RS06380	cg1442
CGTRNA_RS15265	CGTRNA_RS15265	3261573	3261920	hypothetical protein	CGTRNA_RS15265	cg3410
CGTRNA_RS02050	CGTRNA_RS02050	419253	419756	DUF2505 domain-containing protein	CGTRNA_RS02050 // CGTRNA_RS02045	cg0475
CGTRNA_RS06600	CGTRNA_RS06600	1386620	1387702	D-alanine--D-alanine ligase	CGTRNA_RS06600 // CGTRNA_RS06595	cg1493
CGTRNA_RS02385	CGTRNA_RS02385	489226	490449	glycosyltransferase family 1 protein	CGTRNA_RS02385	cg0554
CGTRNA_RS15270	CGTRNA_RS15270	3261993	3262196	heavy-metal-associated domain-containing protein	CGTRNA_RS15270	cg3411
CGTRNA_RS12040	CGTRNA_RS12040	2566270	2566737	thioesterase family protein	CGTRNA_RS12040 // CGTRNA_RS12035	cg2692
CGTRNA_RS15275	CGTRNA_RS15275	3262276	3262623	AzlD domain-containing protein	CGTRNA_RS15290 // CGTRNA_RS15285 // CGTRNA_RS15280 // CGTRNA_RS15275	cg3412
CGTRNA_RS00545	CGTRNA_RS00545	107445	110894	proline dehydrogenase family protein	CGTRNA_RS00545	cg0129
CGTRNA_RS05625	CGTRNA_RS05625	1170212	1170793	DUF1003 domain-containing protein	CGTRNA_RS05630 // CGTRNA_RS05625 // CGTRNA_RS05620	cg1275
rplM	CGTRNA_RS02925	594940	595383	50S ribosomal protein L13	rpsI // rplM	cg0673
CGTRNA_RS15280	CGTRNA_RS15280	3262616	3263329	AzlC family ABC transporter permease	CGTRNA_RS15290 // CGTRNA_RS15285 // CGTRNA_RS15280 // CGTRNA_RS15275	cg3413
CGTRNA_RS12045	CGTRNA_RS12045	2566861	2567454	alkaline phosphatase family protein	CGTRNA_RS12050 // CGTRNA_RS12045	cg2693
infA	CGTRNA_RS02825	573409	573627	translation initiation factor IF-1	infA	cg0651
CGTRNA_RS12050	CGTRNA_RS12050	2567495	2567659	alkaline phosphatase family protein	CGTRNA_RS12050 // CGTRNA_RS12045	cg2694
CGTRNA_RS05730	CGTRNA_RS05730	1196590	1197384	alpha/beta hydrolase	CGTRNA_RS05730	cg1295
CGTRNA_RS15285	CGTRNA_RS15285	3263330	3263935	YqgE/AlgH family protein	CGTRNA_RS15290 // CGTRNA_RS15285 // CGTRNA_RS15280 // CGTRNA_RS15275	cg3414
ettA	CGTRNA_RS12055	2567721	2569391	energy-dependent translational throttle protein EttA	ettA	cg2695
CGTRNA_RS03340	CGTRNA_RS03340	683316	684344	iron chelate uptake ABC transporter family permease subunit	CGTRNA_RS03350 // CGTRNA_RS03345 // CGTRNA_RS03340 // CGTRNA_RS03335 // CGTRNA_RS03330	cg0769
CGTRNA_RS07255	CGTRNA_RS07255	1524516	1525907	hypothetical protein	CGTRNA_RS07255	cg1636
CGTRNA_RS09745	CGTRNA_RS09745	2070290	2071894	ABC transporter substrate-binding protein	CGTRNA_RS09745	cg2181
CGTRNA_RS12060	CGTRNA_RS12060	2569542	2570159	single-stranded DNA-binding protein	CGTRNA_RS12060	cg2697
CGTRNA_RS05630	CGTRNA_RS05630	1170786	1172078	magnesium transporter	CGTRNA_RS05630 // CGTRNA_RS05625 // CGTRNA_RS05620	cg1276
CGTRNA_RS06495	CGTRNA_RS06495	1367060	1367131	tRNA-Gln	CGTRNA_RS06515 // CGTRNA_RS06510 // CGTRNA_RS06505 // CGTRNA_RS06500 // CGTRNA_RS06495	tRNA_3553
CGTRNA_RS03930	CGTRNA_RS03930	831097	832458	PLP-dependent aminotransferase family protein	CGTRNA_RS03930	cg0897
CGTRNA_RS09030	CGTRNA_RS09030	1918798	1918986	hypothetical protein	CGTRNA_RS09030	cg2027
CGTRNA_RS15290	CGTRNA_RS15290	3263928	3265412	CCA tRNA nucleotidyltransferase	CGTRNA_RS15290 // CGTRNA_RS15285 // CGTRNA_RS15280 // CGTRNA_RS15275	cg3415
CGTRNA_RS12065	CGTRNA_RS12065	2570335	2572488	bifunctional copper resistance protein CopD/cytochrome c oxidase assembly protein	CGTRNA_RS12065	cg2699
CGTRNA_RS16145	CGTRNA_RS16145	1862792	1862950	hypothetical protein	CGTRNA_RS16145	cg1984
CGTRNA_RS00865	CGTRNA_RS00865	176309	177322	Gfo/Idh/MocA family oxidoreductase	CGTRNA_RS00870 // CGTRNA_RS00865 // CGTRNA_RS00860 // iolD // iolB // CGTRNA_RS00845 // CGTRNA_RS00840 // iolC	cg0204
dld	CGTRNA_RS04530	957152	958867	D-lactate dehydrogenase	dld	cg1027
CGTRNA_RS12075	CGTRNA_RS12075	2573137	2574558	alkaline phosphatase	CGTRNA_RS12080 // CGTRNA_RS12075	cg2700
CGTRNA_RS07545	CGTRNA_RS07545	1587929	1588201	phosphoribosyl-ATP diphosphatase	CGTRNA_RS07545 // CGTRNA_RS07540	cg1699
CGTRNA_RS03960	CGTRNA_RS03960	836400	836864	hypothetical protein	CGTRNA_RS03960	cg0902
groEL	CGTRNA_RS03020	612448	613737	chaperonin GroEL	groEL // CGTRNA_RS03015	cg0693
musI	CGTRNA_RS12090	2575617	2576258	ABC transport system MusEFGK2I component MusI	CGTRNA_RS12100 // CGTRNA_RS12095 // musI	cg2701
CGTRNA_RS05635	CGTRNA_RS05635	1172161	1172658	magnesium transporter	CGTRNA_RS05640 // CGTRNA_RS05635	cg1277
CGTRNA_RS07485	CGTRNA_RS07485	1573956	1574930	YafY family transcriptional regulator	CGTRNA_RS07495 // pafA // CGTRNA_RS07485 // CGTRNA_RS07480	cg1687
rpe	CGTRNA_RS08005	1694727	1695386	ribulose-phosphate 3-epimerase	rpe // ribD // CGTRNA_RS07995 // CGTRNA_RS07990 // CGTRNA_RS07985	cg1801
CGTRNA_RS02700	CGTRNA_RS02700	550695	551807	energy-coupling factor transporter transmembrane protein EcfT	CGTRNA_RS02700 // CGTRNA_RS02695 // CGTRNA_RS02690	cg0623
CGTRNA_RS00590	CGTRNA_RS00590	120022	120414	VOC family protein	CGTRNA_RS00590	cg0141
CGTRNA_RS16225	CGTRNA_RS16225	3265840	3266808	NUDIX hydrolase	CGTRNA_RS15300 // CGTRNA_RS16225	
CGTRNA_RS08330	CGTRNA_RS08330	1767441	1767917	DUF3817 domain-containing protein	CGTRNA_RS08330	cg1874
CGTRNA_RS12095	CGTRNA_RS12095	2576281	2577195	carbohydrate ABC transporter permease	CGTRNA_RS12100 // CGTRNA_RS12095 // musI	cg2703
CGTRNA_RS15300	CGTRNA_RS15300	3266805	3269318	hypothetical protein	CGTRNA_RS15300 // CGTRNA_RS16225	cg3418
fdhD	CGTRNA_RS02670	543411	544328	formate dehydrogenase accessory sulfurtransferase FdhD	CGTRNA_RS02675 // fdhD // CGTRNA_RS02665 // CGTRNA_RS02660	cg0616
CGTRNA_RS12100	CGTRNA_RS12100	2577199	2578044	sugar ABC transporter permease	CGTRNA_RS12100 // CGTRNA_RS12095 // musI	cg2704
mycP	CGTRNA_RS02895	586397	587641	type VII secretion-associated serine protease mycosin	eccD // mycP	cg0665
aftC	CGTRNA_RS09280	1968337	1969593	arabinofuranan 3-O-arabinosyltransferase	msrB // aftC	cg2077
CGTRNA_RS07945	CGTRNA_RS07945	1681797	1682576	triose-phosphate isomerase	CGTRNA_RS07950 // CGTRNA_RS07945 // gap	cg1789
CGTRNA_RS15305	CGTRNA_RS15305	3269371	3272715	virulence factor	CGTRNA_RS15305	cg3419
CGTRNA_RS12105	CGTRNA_RS12105	2578233	2579564	carbohydrate ABC transporter substrate-binding protein	CGTRNA_RS12105	cg2705
CGTRNA_RS03345	CGTRNA_RS03345	684341	685336	iron ABC transporter permease	CGTRNA_RS03350 // CGTRNA_RS03345 // CGTRNA_RS03340 // CGTRNA_RS03335 // CGTRNA_RS03330	cg0770
CGTRNA_RS09750	CGTRNA_RS09750	2072073	2072999	ABC transporter permease	CGTRNA_RS09760 // CGTRNA_RS09755 // CGTRNA_RS09750	cg2182
CGTRNA_RS15310	CGTRNA_RS15310	3272900	3273574	sigma-70 family RNA polymerase sigma factor	CGTRNA_RS15310	cg3420
CGTRNA_RS12110	CGTRNA_RS12110	2579857	2581101	DUF4032 domain-containing protein	CGTRNA_RS12110	cg2707
CGTRNA_RS05640	CGTRNA_RS05640	1172674	1173342	hypothetical protein	CGTRNA_RS05640 // CGTRNA_RS05635	cg1278
pdxS	CGTRNA_RS03935	832548	833447	pyridoxal 5'-phosphate synthase lyase subunit PdxS	pdxT // pdxS	cg0898
CGTRNA_RS08565	CGTRNA_RS08565	1807247	1808161	hypothetical protein	CGTRNA_RS08565	cg1923
ugpC	CGTRNA_RS12115	2581184	2582314	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	ugpC	cg2708
trxB	CGTRNA_RS15315	3273679	3274632	thioredoxin-disulfide reductase	trxA // trxB	cg3422
CGTRNA_RS01310	CGTRNA_RS01310	263296	264567	Mur ligase family protein	CGTRNA_RS01315 // CGTRNA_RS01310 // CGTRNA_RS01305	cg0300
CGTRNA_RS04535	CGTRNA_RS04535	959310	960467	site-specific DNA-methyltransferase	CGTRNA_RS04535	cg1028
CGTRNA_RS16075	CGTRNA_RS16075	1406784	1406999	hypothetical protein	CGTRNA_RS16075	
CGTRNA_RS08675	CGTRNA_RS08675	1827220	1828409	IS3 family transposase	CGTRNA_RS08675	cg1950
trxA	CGTRNA_RS15320	3274717	3275040	thioredoxin	trxA // trxB	cg3423
CGTRNA_RS08970	CGTRNA_RS08970	1904582	1907350	hypothetical protein	CGTRNA_RS08970	cg2015
CGTRNA_RS08115	CGTRNA_RS08115	1718246	1719337	aminopeptidase P family protein	CGTRNA_RS08115	cg1826
CGTRNA_RS15325	CGTRNA_RS15325	3275117	3276307	N-acetylmuramoyl-L-alanine amidase	CGTRNA_RS15325	cg3424
CGTRNA_RS12120	CGTRNA_RS12120	2582520	2583269	glycosyltransferase	CGTRNA_RS12120	cg2709
CGTRNA_RS12125	CGTRNA_RS12125	2583207	2583950	tyrosine-type recombinase/integrase	CGTRNA_RS12125	cg2710
CGTRNA_RS05645	CGTRNA_RS05645	1173334	1173867	CueP family metal-binding protein	CGTRNA_RS05645	cg1279
CGTRNA_RS15330	CGTRNA_RS15330	3276304	3276924	hypothetical protein	CGTRNA_RS15335 // CGTRNA_RS15330	cg3425
CGTRNA_RS12130	CGTRNA_RS12130	2584302	2584613	hypothetical protein	CGTRNA_RS12130	
CGTRNA_RS15335	CGTRNA_RS15335	3276941	3278080	ParB/RepB/Spo0J family partition protein	CGTRNA_RS15335 // CGTRNA_RS15330	cg3426
CGTRNA_RS12135	CGTRNA_RS12135	2584748	2585310	helix-turn-helix transcriptional regulator	CGTRNA_RS12135	cg2712
CGTRNA_RS15340	CGTRNA_RS15340	3278140	3279063	ParA family protein	CGTRNA_RS15340	cg3427
CGTRNA_RS05735	CGTRNA_RS05735	1197589	1199091	peptide synthetase	CGTRNA_RS05735	cg1296
CGTRNA_RS03350	CGTRNA_RS03350	685346	686398	iron-siderophore ABC transporter substrate-binding protein	CGTRNA_RS03350 // CGTRNA_RS03345 // CGTRNA_RS03340 // CGTRNA_RS03335 // CGTRNA_RS03330	cg0771
CGTRNA_RS00130	CGTRNA_RS00130	23903	23979	tRNA-Ile	CGTRNA_RS00135 // CGTRNA_RS00130	tRNA_3531
CGTRNA_RS09755	CGTRNA_RS09755	2072992	2074026	ABC transporter permease	CGTRNA_RS09760 // CGTRNA_RS09755 // CGTRNA_RS09750	cg2183
rsmG	CGTRNA_RS15345	3279169	3279798	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG	cg3428
CGTRNA_RS06050	CGTRNA_RS06050	1275599	1276414	F0F1 ATP synthase subunit delta	CGTRNA_RS06070 // atpD // CGTRNA_RS06060 // CGTRNA_RS06055 // CGTRNA_RS06050 // CGTRNA_RS06045 // CGTRNA_RS06040 // atpB	cg1365
pdxT	CGTRNA_RS03940	833444	834046	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	pdxT // pdxS	cg0899
yidC	CGTRNA_RS15350	3279987	3280940	membrane protein insertase YidC	yidC	cg3429
CGTRNA_RS12140	CGTRNA_RS12140	2585386	2586177	aldehyde dehydrogenase family protein	larB // CGTRNA_RS12140	cg2713
CGTRNA_RS00870	CGTRNA_RS00870	177335	178207	sugar phosphate isomerase/epimerase	CGTRNA_RS00870 // CGTRNA_RS00865 // CGTRNA_RS00860 // iolD // iolB // CGTRNA_RS00845 // CGTRNA_RS00840 // iolC	cg0205
CGTRNA_RS12305	CGTRNA_RS12305	2621921	2622002	tRNA-Leu	CGTRNA_RS12305	tRNA_3579
yidD	CGTRNA_RS15815	3280996	3281295	membrane protein insertion efficiency factor YidD	rpmH // rnpA // yidD	cg3430
